feature,importance
clim_station_month,0.35916078
month_sin,0.19857007
month_cos,0.08615105
pm25_roll3_mean,0.03576657
sid_STATION_00,0.016567409
pm25_roll7_mean,0.015970968
month,0.0134967705
doy_cos,0.009175887
sid_STATION_22,0.007383303
dayofyear,0.006932139
sid_STATION_26,0.006486094
sid_STATION_08,0.0064158128
sid_STATION_12,0.006152986
sid_STATION_06,0.0060298713
doy_sin,0.0060293255
pm25_roll7_std,0.0056716325
sid_STATION_10,0.005669603
sid_STATION_34,0.005639019
sid_STATION_02,0.0055300775
sid_STATION_35,0.005514015
sid_STATION_18,0.0054458445
sid_STATION_27,0.005413404
sid_STATION_37,0.005341045
sid_STATION_16,0.0052438085
sid_STATION_14,0.005241061
pm25_lag1,0.00523959
pm25_lag3,0.0052393395
sid_STATION_17,0.005219476
pm25_lag7,0.005214597
pm25_lag2,0.0052136853
sid_STATION_31,0.0051461286
sid_STATION_03,0.005114393
dow_cos,0.005106913
sid_STATION_01,0.005105847
dow_sin,0.0050452896
total_precip,0.005019563
sid_STATION_28,0.0050002364
sid_STATION_23,0.004981966
sid_STATION_11,0.004908537
sid_STATION_38,0.004881844
sid_STATION_30,0.0048500276
sid_STATION_15,0.004826607
sid_STATION_29,0.0048238602
sid_STATION_21,0.004683907
dayofweek,0.0045740237
sid_STATION_39,0.004501692
sid_STATION_13,0.004475528
sid_STATION_09,0.0044043954
sid_STATION_20,0.0043980153
sid_STATION_36,0.004382623
sid_STATION_07,0.004370916
temp_2m,0.004227916
sid_STATION_25,0.0041167727
lon,0.004115236
sid_STATION_04,0.0040578065
sid_STATION_32,0.003830018
sid_STATION_33,0.0038280615
sid_STATION_19,0.0037088082
lat,0.003677601
sid_STATION_05,0.0033827482
sid_STATION_24,0.0033274787
building_density,0.0
road_density,0.0
elevation,0.0
