iter	RMSE
0	0.616153495
1	0.6025344787
2	0.5894517745
3	0.5768743618
4	0.5646921981
5	0.5529647756
6	0.5419233939
7	0.5310905534
8	0.520793132
9	0.5108333535
10	0.5013911061
11	0.4923611718
12	0.4835776206
13	0.475215025
14	0.4671434564
15	0.4595025142
16	0.4521358498
17	0.4451733091
18	0.4384888524
19	0.4319634156
20	0.4258456166
21	0.4199482864
22	0.4144016648
23	0.40905794
24	0.4038300603
25	0.3988401673
26	0.3942317715
27	0.3897647541
28	0.3854674795
29	0.381790593
30	0.3779139756
31	0.3742444874
32	0.3707908952
33	0.3674160415
34	0.3643090516
35	0.3612550315
36	0.3584194068
37	0.3556453659
38	0.3531278173
39	0.3507076222
40	0.3483419171
41	0.3461757363
42	0.344089377
43	0.3420567449
44	0.3402170863
45	0.3384125702
46	0.3367257241
47	0.3351216259
48	0.3336914901
49	0.3322461313
50	0.3308867779
51	0.3295883828
52	0.3283520856
53	0.32719631
54	0.3261288869
55	0.3251322074
56	0.324144875
57	0.3231848201
58	0.3222995159
59	0.3214440849
60	0.3206533943
61	0.3199094592
62	0.3191627756
63	0.318460747
64	0.3178172353
65	0.317232427
66	0.3166794113
67	0.3161299504
68	0.3156334168
69	0.3151549099
70	0.3147082544
71	0.3142571869
72	0.3138724267
73	0.3134935314
74	0.3131080161
75	0.3127355282
76	0.3124364711
77	0.312124953
78	0.3118518868
79	0.3115847411
80	0.3113113194
81	0.3110464252
82	0.3108010957
83	0.3105885355
84	0.3103892063
85	0.3101668022
86	0.3099655763
87	0.3097627823
88	0.3095782544
89	0.3094033535
90	0.3092473795
91	0.3090877938
92	0.3089393792
93	0.3087902019
94	0.3086489988
95	0.3085387934
96	0.3084349728
97	0.3082987168
98	0.3081763881
99	0.3080623235
100	0.3079426439
101	0.3078281731
102	0.307734921
103	0.3076405104
104	0.3075454831
105	0.307437661
106	0.3073434353
107	0.3072571513
108	0.3071313054
109	0.3070283129
110	0.3069385882
111	0.3068512418
112	0.3067652157
113	0.3066889433
114	0.3066194806
115	0.3065506953
116	0.3064743072
117	0.3063969708
118	0.3063338449
119	0.306257993
120	0.3061759439
121	0.3061348687
122	0.3060545564
123	0.3060014862
124	0.3059577954
125	0.3058941246
126	0.30581436
127	0.305749232
128	0.3056963235
129	0.305638692
130	0.3055967394
131	0.3055524345
132	0.3054788945
133	0.3054171119
134	0.3053637386
135	0.305302525
136	0.3052621091
137	0.3051938178
138	0.3051524605
139	0.3051118528
140	0.3050637774
141	0.3050205418
142	0.3049873231
143	0.3049403626
144	0.3048650957
145	0.3048411176
146	0.3047790134
147	0.304745145
148	0.3047090627
149	0.3046531539
150	0.3045939152
151	0.3045423633
152	0.3045107794
153	0.3044770647
154	0.3044058484
155	0.3043684417
156	0.304308545
157	0.3042725236
158	0.3042165132
159	0.3041882933
160	0.3041442957
161	0.3041100645
162	0.3040567799
163	0.3040138612
164	0.3039597401
165	0.3039066878
166	0.3038741649
167	0.3038392184
168	0.303788281
169	0.3037603387
170	0.3037263745
171	0.3036791297
172	0.3036376224
173	0.3036118419
174	0.303582319
175	0.3035443869
176	0.3034922818
177	0.3034337255
178	0.3033975977
179	0.3033535964
180	0.3033122366
181	0.3032648038
182	0.303229939
183	0.3031982118
184	0.3031543986
185	0.3031182026
186	0.303076908
187	0.3030522421
188	0.3030076578
189	0.3029768926
190	0.3029258335
191	0.3028860987
192	0.3028412697
193	0.3027913493
194	0.3027567089
195	0.3027266923
196	0.3026931596
197	0.3026531993
198	0.3026038895
199	0.3025781398
200	0.3025533707
201	0.3025166177
202	0.3024569305
203	0.302391819
204	0.3023320037
205	0.3022906118
206	0.3022618228
207	0.302212116
208	0.3021777408
209	0.3021520752
210	0.3021189516
211	0.3020610217
212	0.3020033529
213	0.3019814512
214	0.3019360323
215	0.3018961912
216	0.301856771
217	0.3018380478
218	0.3018126618
219	0.3017734737
220	0.3017107441
221	0.3016895901
222	0.3016370311
223	0.3016060428
224	0.3015568662
225	0.3015009037
226	0.3014670996
227	0.3014400547
228	0.3014186402
229	0.301394282
230	0.3013796379
231	0.301337043
232	0.301309752
233	0.3012541441
234	0.3012202952
235	0.3011924312
236	0.3011563123
237	0.3010934749
238	0.3010566342
239	0.300994649
240	0.3009258622
241	0.3008958367
242	0.3008556017
243	0.3008311002
244	0.3007855457
245	0.300708118
246	0.3006775528
247	0.3006377117
248	0.3005848239
249	0.3005558181
250	0.3005291881
251	0.3004936826
252	0.3004338652
253	0.3003908157
254	0.3003627619
255	0.3003421323
256	0.3003160929
257	0.3002850203
258	0.3002512886
259	0.300233455
260	0.3002126277
261	0.3001731159
262	0.3001430916
263	0.3001116881
264	0.3000560421
265	0.3000546531
266	0.3000033702
267	0.29998249
268	0.2999617028
269	0.29994881
270	0.2999145942
271	0.2998379653
272	0.2998216304
273	0.2997973231
274	0.2997675784
275	0.2997348064
276	0.299706815
277	0.2996848965
278	0.2996490328
279	0.2996140559
280	0.2995800799
281	0.2995377338
282	0.2994754208
283	0.29942304
284	0.2993932604
285	0.2993570074
286	0.2993262433
287	0.2992912498
288	0.2992542014
289	0.2992139383
290	0.2991905747
291	0.29915589
292	0.299112092
293	0.2990649086
294	0.2990224519
295	0.2989990485
296	0.2989501012
297	0.298919075
298	0.2988595447
299	0.298804195
300	0.2987774643
301	0.2987467621
302	0.2987293663
303	0.2986959642
304	0.298668801
305	0.2986436252
306	0.2985903105
307	0.2985662563
308	0.2985477957
309	0.2985212548
310	0.2984805106
311	0.2984563811
312	0.2984428736
313	0.2984165008
314	0.2983716778
315	0.2983318525
316	0.2983245343
317	0.2982825486
318	0.2982472404
319	0.2982066148
320	0.2981743961
321	0.2981240113
322	0.2980714725
323	0.2980208827
324	0.2979990689
325	0.2979691935
326	0.2979301204
327	0.2978847794
328	0.2978260239
329	0.2977922213
330	0.2977208691
331	0.2977069756
332	0.2976767858
333	0.2976529178
334	0.2976050234
335	0.2975706154
336	0.2975350115
337	0.2974830263
338	0.2974434382
339	0.2974125209
340	0.2973551511
341	0.2973209923
342	0.297289157
343	0.2972475141
344	0.2972416055
345	0.2972061703
346	0.2971743585
347	0.2971455993
348	0.2971017132
349	0.2970777882
350	0.2970477846
351	0.2970250848
352	0.2969846901
353	0.2969630128
354	0.2969264322
355	0.296899324
356	0.2968761304
357	0.2968453004
358	0.2968026927
359	0.2967767842
360	0.2967567199
361	0.2967041746
362	0.2966711178
363	0.2966314817
364	0.2965973315
365	0.2965604229
366	0.2965373685
367	0.296482341
368	0.2964486235
369	0.2964016063
370	0.2963693598
371	0.2963069606
372	0.2962815881
373	0.2962438913
374	0.2962002967
375	0.2961728801
376	0.2961276183
377	0.2960833591
378	0.2960438409
379	0.296003104
380	0.2959687434
381	0.2959500024
382	0.2959195598
383	0.2958938265
384	0.2958702527
385	0.2957985082
386	0.2957324492
387	0.2956847621
388	0.295662647
389	0.2956168529
390	0.2955855703
391	0.2955384721
392	0.2955114392
393	0.2954745473
394	0.2954352872
395	0.2954081614
396	0.295380999
397	0.2953347298
398	0.2953149535
399	0.295297222
400	0.2952540115
401	0.2952309963
402	0.2951916591
403	0.2951436183
404	0.2951104886
405	0.2950943398
406	0.2950557355
407	0.2950204346
408	0.2949885843
409	0.29491835
410	0.2948672127
411	0.2948306521
412	0.2947897659
413	0.2947631268
414	0.2947206823
415	0.2946834785
416	0.2946325488
417	0.294607117
418	0.2945691838
419	0.2945500716
420	0.294516891
421	0.2944955751
422	0.2944650554
423	0.294427386
424	0.2944012691
425	0.2943804596
426	0.2943408856
427	0.2943152493
428	0.2942719146
429	0.2942417861
430	0.2942069338
431	0.2941873678
432	0.2941670906
433	0.2941484358
434	0.2941249482
435	0.2940991015
436	0.2940793504
437	0.2940401472
438	0.2939864174
439	0.2939597328
440	0.2939160169
441	0.2938628642
442	0.2938063633
443	0.2937737564
444	0.2937215037
445	0.2936724201
446	0.2936339454
447	0.2936182981
448	0.2936036245
449	0.2935761934
450	0.293551789
451	0.2934939845
452	0.293465877
453	0.2934128281
454	0.2933932274
455	0.2933712607
456	0.2933247885
457	0.2933039266
458	0.2932815589
459	0.2932164317
460	0.2931859895
461	0.293128118
462	0.2931004014
463	0.2930817655
464	0.2930299198
465	0.2929896642
466	0.2929436189
467	0.2929162394
468	0.2928595311
469	0.2928431861
470	0.2928285824
471	0.2928026683
472	0.2927571649
473	0.2926858204
474	0.2926685781
475	0.2926399732
476	0.2926035955
