iter	Passed	Remaining
0	146	219283
1	192	144032
2	234	117038
3	274	102744
4	309	92518
5	347	86504
6	397	84838
7	436	81490
8	478	79291
9	536	80000
10	580	78554
11	621	77058
12	657	75259
13	694	73729
14	730	72352
15	771	71512
16	810	70701
17	852	70200
18	892	69592
19	932	69020
20	975	68715
21	1023	68737
22	1076	69122
23	1127	69356
24	1167	68911
25	1208	68508
26	1250	68202
27	1288	67759
28	1341	68035
29	1370	67136
30	1407	66685
31	1446	66346
32	1484	66007
33	1523	65668
34	1578	66051
35	1621	65923
36	1660	65656
37	1714	65969
38	1750	65562
39	1788	65274
40	1827	65016
41	1865	64756
42	1904	64543
43	1943	64322
44	1982	64116
45	2030	64178
46	2075	64155
47	2113	63946
48	2155	63832
49	2194	63646
50	2234	63490
51	2273	63318
52	2312	63123
53	2357	63121
54	2404	63163
55	2442	62989
56	2480	62805
57	2518	62625
58	2560	62547
59	2599	62382
60	2637	62223
61	2683	62233
62	2730	62281
63	2764	62029
64	2800	61822
65	2836	61631
66	2876	61516
67	2915	61402
68	2954	61282
69	2992	61127
70	3030	60997
71	3068	60859
72	3110	60803
73	3162	60938
74	3200	60818
75	3240	60725
76	3278	60597
77	3316	60471
78	3353	60328
79	3391	60196
80	3432	60128
81	3486	60291
82	3527	60215
83	3565	60109
84	3602	59975
85	3645	59935
86	3686	59872
87	3724	59761
88	3766	59708
89	3815	59780
90	3862	59800
91	3901	59707
92	3940	59612
93	3982	59573
94	4027	59558
95	4064	59450
96	4104	59372
97	4149	59359
98	4197	59400
99	4238	59345
100	4278	59267
101	4316	59161
102	4355	59072
103	4393	58972
104	4435	58923
105	4474	58840
106	4528	58960
107	4568	58882
108	4610	58839
109	4656	58840
110	4694	58746
111	4731	58641
112	4772	58577
113	4830	58728
114	4864	58582
115	4897	58436
116	4935	58334
117	4975	58275
118	5015	58206
119	5055	58138
120	5096	58078
121	5135	58011
122	5176	57955
123	5215	57872
124	5254	57795
125	5306	57866
126	5346	57801
127	5384	57717
128	5422	57625
129	5458	57528
130	5498	57462
131	5536	57377
132	5587	57430
133	5631	57407
134	5672	57351
135	5712	57291
136	5749	57205
137	5788	57132
138	5826	57050
139	5864	56968
140	5910	56962
141	5958	56980
142	5996	56905
143	6033	56818
144	6072	56741
145	6110	56664
146	6148	56588
147	6185	56503
148	6239	56577
149	6290	56616
150	6329	56544
151	6368	56479
152	6407	56410
153	6449	56367
154	6487	56298
155	6527	56240
156	6578	56271
157	6617	56207
158	6654	56127
159	6691	56037
160	6734	56008
161	6774	55950
162	6812	55876
163	6848	55793
164	6898	55812
165	6944	55803
166	6978	55702
167	7013	55606
168	7047	55500
169	7086	55441
170	7122	55357
171	7163	55305
172	7205	55269
173	7244	55204
174	7281	55132
175	7322	55085
176	7370	55090
177	7410	55034
178	7449	54975
179	7488	54918
180	7527	54858
181	7568	54806
182	7607	54747
183	7645	54678
184	7693	54687
185	7737	54664
186	7774	54586
187	7812	54519
188	7851	54462
189	7889	54394
190	7929	54344
191	7969	54291
192	8009	54237
193	8050	54193
194	8098	54199
195	8136	54132
196	8173	54063
197	8211	53998
198	8249	53935
199	8287	53866
200	8326	53809
201	8364	53748
202	8417	53782
203	8458	53739
204	8497	53682
205	8539	53639
206	8577	53579
207	8616	53522
208	8655	53465
209	8695	53417
210	8745	53428
211	8788	53396
212	8826	53331
213	8864	53267
214	8900	53197
215	8937	53128
216	8975	53064
217	9012	52999
218	9046	52915
219	9080	52831
220	9113	52742
221	9174	52814
222	9212	52757
223	9249	52687
224	9286	52625
225	9326	52576
226	9365	52521
227	9404	52466
228	9443	52415
229	9498	52448
230	9538	52399
231	9576	52342
232	9614	52281
233	9658	52255
234	9699	52211
235	9737	52151
236	9774	52089
237	9812	52029
238	9862	52037
239	9903	51995
240	9942	51939
241	9981	51886
242	10020	51833
243	10061	51790
244	10099	51735
245	10138	51684
246	10182	51656
247	10231	51654
248	10268	51590
249	10307	51538
250	10345	51477
251	10382	51416
252	10422	51370
253	10463	51328
254	10521	51369
255	10583	51428
256	10621	51372
257	10660	51319
258	10700	51273
259	10738	51215
260	10776	51157
261	10815	51106
262	10857	51065
263	10910	51082
264	10948	51023
265	10962	50854
266	10999	50796
267	11037	50737
268	11073	50675
269	11112	50622
270	11149	50564
271	11183	50488
272	11216	50412
273	11251	50344
274	11290	50293
275	11328	50237
276	11381	50250
277	11420	50201
278	11458	50144
279	11496	50090
280	11536	50044
281	11576	50000
282	11616	49956
283	11663	49940
284	11714	49939
285	11754	49896
286	11795	49853
287	11835	49805
288	11874	49756
289	11914	49710
290	11953	49660
291	11990	49604
292	12038	49591
293	12078	49547
294	12118	49499
295	12157	49453
296	12195	49396
297	12236	49355
298	12275	49305
299	12313	49253
300	12359	49231
301	12405	49212
302	12444	49160
303	12481	49105
304	12521	49057
305	12558	49004
306	12598	48956
307	12635	48902
308	12675	48855
309	12730	48869
310	12776	48845
311	12813	48791
312	12850	48732
313	12887	48676
314	12926	48628
315	12964	48577
316	12990	48480
317	13042	48478
318	13080	48427
319	13120	48383
320	13158	48328
321	13195	48273
322	13233	48222
323	13269	48164
324	13305	48103
325	13340	48040
326	13379	47995
327	13418	47948
328	13462	47916
329	13511	47903
330	13549	47853
331	13587	47803
332	13626	47755
333	13669	47722
334	13707	47670
335	13744	47616
336	13782	47563
337	13835	47563
338	13874	47516
339	13912	47464
340	13954	47427
341	13994	47385
342	14033	47337
343	14070	47283
344	14121	47275
345	14165	47244
346	14203	47194
347	14240	47140
348	14279	47093
349	14319	47050
350	14357	46999
351	14395	46949
352	14458	46980
353	14498	46936
354	14536	46884
355	14573	46832
356	14611	46781
357	14648	46729
358	14687	46680
359	14724	46626
360	14775	46617
361	14821	46593
362	14859	46542
363	14902	46509
364	14940	46459
365	14978	46408
366	15017	46361
367	15057	46318
368	15105	46298
369	15149	46266
370	15195	46240
371	15237	46203
372	15276	46156
373	15314	46108
374	15351	46055
375	15387	46000
376	15421	45938
377	15456	45879
378	15501	45849
379	15545	45819
380	15595	45802
381	15634	45757
382	15677	45722
383	15717	45679
384	15757	45636
385	15796	45587
386	15835	45542
387	15876	45501
388	15929	45495
389	15972	45461
390	16013	45420
391	16053	45376
392	16111	45381
393	16149	45333
394	16187	45283
395	16227	45239
396	16274	45217
397	16314	45171
398	16352	45121
399	16389	45071
400	16427	45021
401	16464	44970
402	16504	44925
403	16542	44876
404	16594	44865
405	16684	44957
406	16724	44914
407	16774	44897
408	16821	44871
409	16872	44856
410	16925	44847
411	16969	44811
412	17012	44775
413	17051	44729
414	17090	44682
415	17129	44634
416	17167	44586
417	17207	44541
418	17255	44519
419	17295	44475
420	17336	44432
421	17379	44395
422	17419	44350
423	17475	44347
424	17510	44291
425	17544	44232
426	17585	44190
427	17628	44154
428	17677	44132
429	17722	44100
430	17765	44062
431	17813	44038
432	17857	44003
433	17895	43955
434	17933	43906
435	17974	43863
436	18017	43826
437	18064	43801
438	18103	43753
439	18141	43704
440	18179	43655
441	18218	43609
442	18257	43563
443	18303	43533
444	18352	43510
445	18391	43463
446	18432	43420
447	18469	43371
448	18508	43324
449	18548	43278
450	18586	43231
451	18629	43195
452	18680	43175
453	18722	43135
454	18760	43087
455	18801	43046
456	18847	43015
457	18895	42989
458	18937	42949
459	18976	42903
460	19031	42893
461	19070	42845
462	19109	42800
463	19145	42747
464	19184	42700
465	19223	42654
466	19261	42606
467	19303	42566
468	19359	42557
469	19398	42510
470	19436	42463
471	19477	42420
472	19519	42380
473	19562	42344
474	19606	42309
475	19646	42263
476	19685	42217
477	19724	42171
478	19765	42131
479	19818	42113
480	19865	42085
481	19907	42044
482	19948	42003
483	19985	41953
484	20025	41908
485	20064	41863
486	20110	41831
487	20162	41812
488	20210	41785
489	20251	41743
490	20290	41697
491	20331	41655
492	20371	41611
493	20415	41575
494	20460	41540
495	20505	41508
496	20544	41460
497	20583	41415
498	20621	41366
499	20660	41320
500	20699	41275
501	20737	41226
502	20785	41198
503	20829	41162
504	20868	41117
505	20906	41069
506	20947	41027
507	20987	40984
508	21037	40958
509	21076	40912
510	21128	40892
511	21169	40849
512	21209	40806
513	21247	40758
514	21285	40711
515	21325	40667
516	21362	40617
517	21412	40592
518	21457	40559
519	21495	40511
520	21539	40473
521	21582	40435
522	21621	40391
523	21664	40351
524	21702	40304
525	21750	40276
526	21789	40229
527	21823	40175
528	21864	40133
529	21904	40088
530	21944	40044
531	21983	39999
532	22021	39952
533	22060	39907
534	22097	39857
535	22142	39824
536	22188	39790
537	22226	39744
538	22264	39695
539	22306	39655
540	22342	39605
541	22380	39558
542	22417	39509
543	22460	39470
544	22506	39437
545	22549	39399
546	22588	39354
547	22627	39309
548	22666	39263
549	22705	39218
550	22743	39172
551	22795	39149
552	22846	39124
553	22885	39079
554	22927	39038
555	22965	38990
556	23003	38944
557	23042	38898
558	23081	38853
559	23118	38806
560	23169	38780
561	23209	38737
562	23247	38690
563	23291	38654
564	23341	38626
565	23387	38592
566	23427	38549
567	23473	38515
568	23519	38482
569	23558	38436
570	23595	38389
571	23632	38341
572	23670	38293
573	23715	38259
574	23753	38212
575	23797	38175
576	23843	38141
577	23880	38093
578	23916	38042
579	23949	37989
580	23996	37956
581	24034	37909
582	24077	37872
583	24116	37826
584	24157	37785
585	24196	37739
586	24242	37706
587	24284	37665
588	24324	37621
589	24363	37577
590	24404	37535
591	24442	37489
592	24483	37447
593	24520	37399
594	24558	37354
595	24610	37328
596	24654	37291
597	24692	37245
598	24729	37198
599	24768	37152
600	24805	37105
601	24845	37061
602	24891	37028
603	24937	36992
604	24976	36949
605	25019	36910
606	25059	36866
607	25098	36821
608	25138	36779
609	25176	36733
610	25215	36687
611	25264	36657
612	25304	36615
613	25345	36573
614	25384	36528
615	25421	36481
616	25462	36440
617	25501	36394
618	25546	36358
619	25592	36324
620	25630	36279
621	25673	36239
622	25709	36192
623	25748	36147
624	25789	36105
625	25828	36060
626	25871	36022
627	25920	35990
628	25958	35945
629	25992	35894
630	26039	35861
631	26090	35832
632	26140	35804
633	26189	35772
634	26266	35779
635	26317	35752
636	26366	35720
637	26408	35680
638	26448	35636
639	26490	35597
640	26528	35550
641	26566	35504
642	26605	35459
643	26646	35418
644	26693	35384
645	26745	35356
646	26782	35310
647	26825	35270
648	26864	35226
649	26903	35181
650	26942	35136
651	26985	35097
652	27041	35074
653	27085	35037
654	27130	35000
655	27170	34957
656	27207	34910
657	27245	34864
658	27289	34826
659	27331	34786
660	27387	34762
661	27427	34719
662	27466	34674
663	27505	34630
664	27553	34597
665	27591	34551
666	27629	34506
667	27671	34464
668	27724	34438
669	27765	34395
670	27802	34348
671	27838	34300
672	27877	34256
673	27914	34209
674	27952	34164
675	27990	34119
676	28044	34092
677	28083	34048
678	28118	33998
